name,addr,street,citystatezip,phone,type,website,lon,lat,addrtype,loctype,address,north,south,east,west
Costa Ventosa Winery & Vineyard,"9031 Whaleyville Rd, Whaleyville, MD 21872-2116",9031 Whaleyville Rd,"Whaleyville, MD 21872-2116",Phone: (443) 333-9867,Type: Brewpub,www.costaventosa.com,-75.25848839999999,38.4253728,street_address,rooftop,"9031 whaleysville rd, whaleyville, md 21872, usa",38.42672178029149,38.4240238197085,-75.2571394197085,-75.2598373802915
Crooked Crab Brewing Company,"8251 Telegraph Rd, Odenton, MD 21113",8251 Telegraph Rd,"Odenton, MD 21113",Phone: (908) 577-6078,Type: Taproom,www.crookedcrabbrewing.com,-76.6936948,39.0974987,premise,rooftop,"8251 telegraph rd, odenton, md 21113, usa",39.09871188029149,39.0960139197085,-76.6923298197085,-76.69502778029151
Cult Classic Brewing,"1169 Shopping Center Rd, Stevensville, MD 21666-4051",1169 Shopping Center Rd,"Stevensville, MD 21666-4051",Phone: (410) 980-8097,Type: Brewpub,www.cultclassicbrewing.com,-76.2979543,38.9758193,premise,rooftop,"1169 shopping center rd, stevensville, md 21666, usa",38.9772666302915,38.9745686697085,-76.2965522197085,-76.29925018029151
Cushwa Brewing Co,"10210 Governor Lane Blvd, Williamsport, MD 21795",10210 Governor Lane Blvd,"Williamsport, MD 21795",NA,Type: Brewpub,www.cushwabrewing.com,-77.807332,39.5953687,premise,rooftop,"10210 governor lane boulevard, williamsport, md 21795, usa",39.59660918029149,39.5939112197085,-77.80611251970849,-77.8088104802915
Dempsey's Brew Pub and Restaurant - Baltimore,"333 W Camden St, Baltimore, MD 21201",333 W Camden St,"Baltimore, MD 21201",Phone: (410) 843-7901,Type: Brewpub,www.dempseysbaltimore.com,-76.6203851,39.2844959,street_address,rooftop,"333 w camden st, baltimore, md 21201, usa",39.2858448802915,39.2831469197085,-76.6190361197085,-76.6217340802915
Denizens Brewing Company,"4550 Van Buren St, Riverdale, MD 20737",4550 Van Buren St,"Riverdale, MD 20737",Phone: (301) 557-9818,Type: Brewpub,NA,-76.9364054,38.969883,street_address,rooftop,"4550 van buren st, riverdale, md 20737, usa",38.97123198029149,38.96853401970849,-76.93505641970849,-76.93775438029151
Diamondback Brewing Company,"1215 E Fort Ave, Baltimore, MD 21230-5276",1215 E Fort Ave,"Baltimore, MD 21230-5276",Phone: (443) 388-9626,Type: Brewpub,www.diamondbackbeer.com,-76.59776389999999,39.2685951,premise,rooftop,"1215 e fort ave, baltimore, md 21230, usa",39.2701546802915,39.2674567197085,-76.59632811970849,-76.5990260802915
Dig Deep Brewing Co,"2 Howard Street, Suite B, Cumberland, MD 21502","2 Howard Street, Suite B","Cumberland, MD 21502",Phone: (240) 522-1288,Type: Taproom,Www.digdeepbrewery.com,-78.7618191,39.6484884,subpremise,rooftop,"2 howard st b, cumberland, md 21502, usa",39.6498373802915,39.6471394197085,-78.7604701197085,-78.7631680802915
Double Groove Brewing,"1659 Robin Cir Suite D, Forest Hill, MD 21050",1659 Robin Cir Suite D,"Forest Hill, MD 21050",Phone: 443-371-2354,Type: Taproom,www.doublegroovebrewing.com,-76.3585587,39.5686269,subpremise,rooftop,"1659 robin cir d, forest hill, md 21050, usa",39.5699996802915,39.5673017197085,-76.3571857197085,-76.3598836802915
DuClaw Brewing Company,"8901 Yellow Brick Rd Ste B, Baltimore, MD 21237-2349",8901 Yellow Brick Rd Ste B,"Baltimore, MD 21237-2349",Phone: (443) 559-9900,Type: Regional,www.duclaw.com,-76.47817839999999,39.3405893,subpremise,rooftop,"8901 yellow brick rd b, rosedale, md 21237, usa",39.3419312802915,39.3392333197085,-76.47696671970849,-76.47966468029149
Eastern Shore Brewing,"605 S Talbot St, Saint Michaels, MD 21663",605 S Talbot St,"Saint Michaels, MD 21663",Phone: (410) 745-8010,Type: Taproom,www.easternshorebrewing.com,-76.2209566,38.7815986,premise,rooftop,"605 s talbot st, st michaels, md 21663, usa",38.7829549302915,38.7802569697085,-76.21961091970849,-76.22230888029151
Elder Pine Brewing & Blending Co,"4200 Sundown Road, Gaithersburg, MD 20882",4200 Sundown Road,"Gaithersburg, MD 20882",NA,Type: Taproom,www.elderpine.com,-77.08500099999999,39.2216731,premise,rooftop,"4200 sundown rd, gaithersburg, md 20882, usa",39.22296773029149,39.2202697697085,-77.0836969197085,-77.08639488029151
Elk River Brewing Co.,"112 East Main Street, Elkton, MD 21921",112 East Main Street,"Elkton, MD 21921",Phone: (443) 207-8454,Type: Taproom,www.elkriverbrewing.com,-75.8293592,39.60772,premise,rooftop,"112 e main st, elkton, md 21921, usa",39.60907573029149,39.6063777697085,-75.8280272697085,-75.83072523029152
Ellicott Mills Brewing Co,"8308 Main St, Ellicott City, MD 21043-4601",8308 Main St,"Ellicott City, MD 21043-4601",Phone: (410) 313-8141,Type: Brewpub,www.ellicottmillsbrewing.com,-76.79963959999999,39.2681607,premise,rooftop,"8308 main st, ellicott city, md 21043, usa",39.2695233802915,39.2668254197085,-76.79827346970849,-76.8009714302915
Evolution Craft Brewing Co,"200 Elmwood St, Salisbury, MD 21804-5522",200 Elmwood St,"Salisbury, MD 21804-5522",Phone: (443) 260-2337,Type: Micro,www.evolutioncraftbrewing.com,-75.5960638,38.3613714,street_address,rooftop,"200 elmwood st, salisbury, md 21804, usa",38.3627203802915,38.3600224197085,-75.59471481970849,-75.59741278029149
Evolution Craft Brewing Co - Salisbury,"201 E Vine St, Salisbury, MD 21804-5515",201 E Vine St,"Salisbury, MD 21804-5515",NA,Type: Brewpub,NA,-75.5959836,38.3618306,premise,rooftop,"201 e vine st, salisbury, md 21804, usa",38.3631941302915,38.3604961697085,-75.5945985697085,-75.5972965302915
Farmacy Cultivated Craft,"3100 BLACK ROCK RD, REISTERSTOWN, MD 21136",3100 BLACK ROCK RD,"REISTERSTOWN, MD 21136",Phone: (410) 935-2551,Type: Taproom,www.farmacybrewing.com,-76.7554291,39.5463484,street_address,rooftop,"3100 black rock rd, reisterstown, md 21136, usa",39.5476973802915,39.5449994197085,-76.75408011970849,-76.75677808029151
Firetower Farm Brewery,"785 Firetower Rd, Colora, MD 21917",785 Firetower Rd,"Colora, MD 21917",Phone: (443) 990-1159,Type: Taproom,NA,-76.085307,39.658767,street_address,rooftop,"785 firetower rd, colora, md 21917, usa",39.6601159802915,39.6574180197085,-76.0839580197085,-76.08665598029151
Flood Zone Brewery,"50 N. Main Street, Union Bridge, MD 21791",50 N. Main Street,"Union Bridge, MD 21791",Phone: (443) 375-0085,Type: Taproom,NA,-77.1758886,39.5719315,premise,rooftop,"50 n main st, union bridge, md 21791, usa",39.5732652302915,39.5705672697085,-77.17450206970848,-77.17720003029149
Flying Dog Brewery,"4607 Wedgewood Blvd, Frederick, MD 21703-7120",4607 Wedgewood Blvd,"Frederick, MD 21703-7120",Phone: (301) 694-7899,Type: Regional,www.flyingdogbrewery.com,-77.4267182,39.3628756,premise,rooftop,"4607 wedgewood blvd, frederick, md 21703, usa",39.3641779302915,39.3614799697085,-77.4254643697085,-77.42816233029151
Forward Brewing,"418 Fourth Street, Annapolis, MD 21403",418 Fourth Street,"Annapolis, MD 21403",Phone: (410) 693-0513,Type: Brewpub,ForwardEastport.com,-76.4821769,38.9709618,premise,rooftop,"418 fourth st, annapolis, md 21403, usa",38.97231663029149,38.9696186697085,-76.48081036970851,-76.48350833029151
Franklins General Store,"5123 Baltimore Ave, Hyattsville, MD 20781-2042",5123 Baltimore Ave,"Hyattsville, MD 20781-2042",Phone: (301) 927-2740,Type: Brewpub,Franklinsbrewery.com,-76.940257,38.95261199999999,street_address,rooftop,"5123 baltimore ave, hyattsville, md 20781, usa",38.9539609802915,38.9512630197085,-76.9389080197085,-76.94160598029151
Frey's Brewing Company,"8601 Mapleville Rd, Mount Airy, MD 21771-9705",8601 Mapleville Rd,"Mount Airy, MD 21771-9705",Phone: (301) 639-7146,Type: Micro,www.freysbrewing.com,-77.2034862,39.47062349999999,premise,rooftop,"8601 mapleville rd, mt airy, md 21771, usa",39.4719836302915,39.4692856697085,-77.20214706970849,-77.2048450302915
Full Tilt Brewing,"5604 York Road, Baltimore, MD 21212",5604 York Road,"Baltimore, MD 21212",NA,Type: Brewpub,www.fulltiltbrewing.com,-76.6100685,39.358099,street_address,rooftop,"5604 york rd, baltimore, md 21212, usa",39.3594479802915,39.3567500197085,-76.60871951970849,-76.61141748029151
Gateway Craft Brewing,"2207 Northwood Drive, Salisbury, MD 21801",2207 Northwood Drive,"Salisbury, MD 21801",Phone: (410) 726-9213,Type: Taproom,NA,-75.57902179999999,38.40028,premise,rooftop,"2207 northwood dr, salisbury, md 21801, usa",38.4016110802915,38.3989131197085,-75.5776707197085,-75.58036868029151
Gordon Biersch Brewery Restaurant - Annapolis,"1906 Towne Centre Blvd Ste 155, Annapolis, MD 21401-3681",1906 Towne Centre Blvd Ste 155,"Annapolis, MD 21401-3681",Phone: (410) 266-5965,Type: Brewpub,www.craftworksrestaurants.com,-76.541643,38.9815991,subpremise,rooftop,"1906 towne centre blvd suite 155, annapolis, md 21401, usa",38.9828952802915,38.9801973197085,-76.5402747197085,-76.54297268029151
Gypsy Brewing Company,"3255 PAGEWAY CT, HUNTINGTOWN, MD 20639",3255 PAGEWAY CT,"HUNTINGTOWN, MD 20639",Phone: (410) 449-9379,Type: Micro,www.facebook.com/GypsyBrewingCompany,-76.5879861,38.6019049,street_address,rooftop,"3255 pageway ct, huntingtown, md 20639, usa",38.6032538802915,38.6005559197085,-76.58663711970848,-76.5893350802915
Heavy Seas Beer,"4615 Hollins Ferry Rd Ste B, Baltimore, MD 21227-4624",4615 Hollins Ferry Rd Ste B,"Baltimore, MD 21227-4624",Phone: (410) 247-7822,Type: Regional,www.hsbeer.com,-76.6753806,39.2307403,subpremise,rooftop,"4615 hollins ferry rd b, halethorpe, md 21227, usa",39.23193773029149,39.2292397697085,-76.67393051970848,-76.6766284802915
Homaide Brewing Company,"10212 Governor Lane, Williamsport, MD 21795",10212 Governor Lane,"Williamsport, MD 21795",Phone: (833) 466-2433,Type: Taproom,www.homaidebrewing.com,-77.8064411,39.5947976,premise,rooftop,"10212 governor lane boulevard, williamsport, md 21795, usa",39.59628783029149,39.5935898697085,-77.80514656970848,-77.80784453029149
Hopkins Farm Brewery,"3833 Rider Lane, Havre De Grace, MD 21078",3833 Rider Lane,"Havre De Grace, MD 21078",Phone: (410) 914-5727,Type: Taproom,www.hopkinsfarmbrewery.com,-76.1829229,39.5746714,street_address,range_interpolated,"3833 rider ln, havre de grace, md 21078, usa",39.5760203802915,39.5733224197085,-76.18157391970848,-76.18427188029149
Hysteria Brewing Company,"9570 Berger Rd Ste J, Columbia, MD 21046-1559",9570 Berger Rd Ste J,"Columbia, MD 21046-1559",Phone: 410-360-8319,Type: Taproom,www.hysteriabrewing.com,-76.84443759999999,39.1731875,subpremise,rooftop,"9570 berger rd j, columbia, md 21046, usa",39.1744821802915,39.1717842197085,-76.8431686697085,-76.84586663029152
Idiom Brewing Company,"340 E Patrick St, Frederick, MD 21701-6291",340 E Patrick St,"Frederick, MD 21701-6291",Phone: (240) 578-4152,Type: Taproom,www.idiombrewing.com,-77.4038066,39.4135062,premise,rooftop,"340 e patrick st, frederick, md 21701, usa",39.4147102302915,39.4120122697085,-77.40245516970849,-77.4051531302915
Independent Brewing Company,"418 N Main St, Bel Air, MD 21014-3509",418 N Main St,"Bel Air, MD 21014-3509",Phone: (410) 960-2042,Type: Taproom,www.independentbrew.com,-76.35644769999999,39.539856,premise,rooftop,"418 n main st, bel air, md 21014, usa",39.54121113029149,39.53851316970849,-76.35510806970849,-76.3578060302915
Inverness Brewing,"16200 Markoe Rd, Monkton, MD 21111",16200 Markoe Rd,"Monkton, MD 21111",Phone: (443) 829-2142,Type: Taproom,www.invernessbrewing.com,-76.577421,39.568821,street_address,rooftop,"16200 markoe rd, monkton, md 21111, usa",39.5701699802915,39.5674720197085,-76.57607201970849,-76.57876998029151
Jailbreak Brewing Company,"9445 Washington Blvd N Ste F, Laurel, MD 20723-1380",9445 Washington Blvd N Ste F,"Laurel, MD 20723-1380",Phone: (443) 345-9699,Type: Micro,www.jailbreakbrewing.com,-76.8231315,39.1242752,subpremise,rooftop,"9445 washington blvd n ste f, laurel, md 20723, usa",39.1256241802915,39.1229262197085,-76.8217825197085,-76.82448048029151
Johanssons Dining House,"4 W Main St, Westminster, MD 21157-4816",4 W Main St,"Westminster, MD 21157-4816",Phone: (410) 876-0101,Type: Brewpub,www.johanssonsdininghouse.com,-76.9957397,39.5754887,premise,rooftop,"4 w main st, westminster, md 21157, usa",39.5768589302915,39.5741609697085,-76.99438016970849,-76.9970781302915
Jug Bridge Brewery,"911 E Patrick St, Frederick, MD 21701",911 E Patrick St,"Frederick, MD 21701",NA,Type: Taproom,NA,-77.3911383,39.40926779999999,premise,rooftop,"911 e patrick st, frederick, md 21701, usa",39.4106126302915,39.4079146697085,-77.3897969697085,-77.3924949302915
Key Brewing Co.,"2500 Grays Rd, Dundalk, MD 21222-5044",2500 Grays Rd,"Dundalk, MD 21222-5044",NA,Type: Micro,NA,-76.461895,39.2446656,premise,rooftop,"2500 grays rd, dundalk, md 21222, usa",39.2458990802915,39.2432011197085,-76.4608459697085,-76.46354393029151
Lillard and Daughters Farms,"20752 Penansey Lane, Leonardtown, MD 20650",20752 Penansey Lane,"Leonardtown, MD 20650",NA,Type: Micro,NA,-76.6110795,38.23890979999999,premise,rooftop,"20752 penansey ln, leonardtown, md 20650, usa",38.2402339802915,38.2375360197085,-76.60970651970848,-76.6124044802915
Locust Post Brewery,"31706 Old Adams Road, Little Orleans, MD 21766",31706 Old Adams Road,"Little Orleans, MD 21766",Phone: (301) 697-3519,Type: Brewpub,NA,-78.38827289999999,39.7026569,street_address,rooftop,"31706 old adams rd, little orleans, md 21766, usa",39.7040058802915,39.7013079197085,-78.38692391970848,-78.3896218802915
Lone Oak Farm Brewing Company,"5000 Olney Laytonsville Rd., Olney , MD 20832",5000 Olney Laytonsville Rd.,"Olney , MD 20832",Phone: (301) 775-1327,Type: Taproom,www.loneoakbrewingco.com,-77.10265299999999,39.17724,street_address,rooftop,"5000 olney laytonsville rd, olney, md 20832, usa",39.17858898029149,39.17589101970849,-77.1013040197085,-77.1040019802915
Mad Science Brewing Company,"1619 Buckeystown Pike, Adamstown, MD 21710",1619 Buckeystown Pike,"Adamstown, MD 21710",Phone: (240) 409-8723,Type: Taproom,www.madsciencebrewing.com,-77.4631386,39.2788304,premise,rooftop,"1619 buckeystown pike, adamstown, md 21710, usa",39.2802304802915,39.27753251970851,-77.4618045197085,-77.46450248029151
Manor Hill Brewing,"4411 Manor Ln, Ellicott City, MD 21042-6111",4411 Manor Ln,"Ellicott City, MD 21042-6111",Phone: (410) 997-7771,Type: Micro,www.manorhillbrewing.com,-76.8850448,39.2503428,premise,rooftop,"4411 manor ln, ellicott city, md 21042, usa",39.25168263029149,39.24898466970849,-76.88367921970848,-76.8863771802915
"Maryland Beer Company, LLC","601 N Bridge St Ste C, Elkton, MD 21921",601 N Bridge St Ste C,"Elkton, MD 21921",Phone: (410) 441-0874,Type: Taproom,www.mdbeerco.com,-75.8384086,39.6151436,subpremise,rooftop,"601 n bridge st suite c, elkton, md 21921, usa",39.6164925802915,39.6137946197085,-75.83705961970848,-75.8397575802915
Midnight Run Brewing,"912 N East St, Frederick, MD 21701",912 N East St,"Frederick, MD 21701",Phone: (240) 651-1424,Type: Taproom,www.midnightrunbrewing.com,-77.4027235,39.4267678,subpremise,rooftop,"912 n east st, frederick, md 21701, usa",39.42811713029149,39.4254191697085,-77.4013030197085,-77.4040009802915
Milkhouse Brewery at Stillpoint Farm,"8253 Dollyhyde Rd, Mount Airy, MD 21771-9404",8253 Dollyhyde Rd,"Mount Airy, MD 21771-9404",Phone: (240) 401-1517,Type: Taproom,www.milkhousebrewery.com,-77.22475639999999,39.4593865,street_address,rooftop,"8253 dollyhyde rd, mt airy, md 21771, usa",39.4607354802915,39.4580375197085,-77.22340741970848,-77.22610538029149
Ministry of Brewing,"1900 E Lombard St, Baltimore, MD 21231",1900 E Lombard St,"Baltimore, MD 21231",Phone: (410) 624-5623,Type: Taproom,www.ministryofbrewing.com,-76.5900825,39.2906736,street_address,rooftop,"1900 e lombard st, baltimore, md 21231, usa",39.2920225802915,39.2893246197085,-76.58873351970848,-76.59143148029149
Mobtown Brewing Company,"4015 Foster Avenue, Baltimore, MD 21224",4015 Foster Avenue,"Baltimore, MD 21224",Phone: (667) 309-3653,Type: Taproom,www.mobtownbrewing.com,-76.5624586,39.2841528,premise,rooftop,"4015 foster ave, baltimore, md 21224, usa",39.2855947302915,39.2828967697085,-76.56115876970848,-76.5638567302915
Monocacy Brewing Co,"1781 N Market St, Frederick, MD 21701-4305",1781 N Market St,"Frederick, MD 21701-4305",Phone: (301) 631-0671,Type: Micro,NA,-77.39920359999999,39.4403318,premise,rooftop,"1781 n market st, frederick, md 21701, usa",39.4416639802915,39.4389660197085,-77.3978457197085,-77.4005436802915
Mully's Brewery,"141 Schooner Ln Ste 15, Prince Frederick, MD 20678-3482",141 Schooner Ln Ste 15,"Prince Frederick, MD 20678-3482",Phone: (443) 968-9426,Type: Taproom,www.mullysbrewery.com,-76.647938,38.510411,subpremise,rooftop,"141 schooner ln #15, prince frederick, md 20678, usa",38.5117599802915,38.5090620197085,-76.64658901970849,-76.64928698029149
Nepenthe Brewing Co.,"3626 Falls Rd, Baltimore, MD 21211",3626 Falls Rd,"Baltimore, MD 21211",Phone: (443) 438-4846,Type: Brewpub,www.nepenthebrewingco.com,-76.6352768,39.3314348,street_address,rooftop,"3626 falls rd, baltimore, md 21211, usa",39.33278378029151,39.33008581970851,-76.63392781970849,-76.6366257802915
"Olde Mother Brewing, LLC","526 N Market St, Frederick, MD 21701",526 N Market St,"Frederick, MD 21701",Phone: (301) 624-1700,Type: Taproom,OldeMother.com,-77.40979279999999,39.4212347,premise,rooftop,"526 n market st, frederick, md 21701, usa",39.4225755302915,39.4198775697085,-77.40843766970849,-77.41113563029151
Oliver Brewing Company,"4216 Shannon Dr, Baltimore, MD 21213-2144",4216 Shannon Dr,"Baltimore, MD 21213-2144",Phone: (410) 483-3302,Type: Micro,www.oliverbrewingco.com,-76.55320329999999,39.3148937,premise,rooftop,"4216 shannon dr, baltimore, md 21213, usa",39.3162584302915,39.3135604697085,-76.5518162197085,-76.5545141802915
Patriot Acres Farm Brewery,"1621 Millington Rd, Sudlersville, MD 21668-1427",1621 Millington Rd,"Sudlersville, MD 21668-1427",Phone: (410) 708-5424,Type: Taproom,www.patriotacresfarmbrewery.com,-75.8682145,39.2209072,premise,rooftop,"1621 millington rd, sudlersville, md 21668, usa",39.2222683802915,39.219570419708504,-75.86684746970849,-75.8695454302915
